cycle,regime,local_cycle,active_mode,mask_val,computed,computed_mod,e_field_base,e_field_mod,attractor_base,attractor_mod,attractor_changed,delta_computed,delta_mod,transition_base,mode_lfsr_state
5266,4,766,3,4095,3306,789,51,12,2,4,1,403,403,0,10062
5267,4,767,0,0,2498,2498,39,39,4,4,0,808,808,1,20125
5268,4,768,1,63,888,839,13,13,4,4,0,1610,1718,0,7482
5269,4,769,2,4032,1761,2337,27,36,4,4,0,873,919,0,14964
5270,4,770,3,4095,3507,588,54,9,2,4,1,1746,1746,1,29929
5271,4,771,0,0,2902,2902,45,45,4,4,0,605,605,1,27091
5272,4,772,1,63,1692,1699,26,26,4,4,0,1210,1222,0,21415
5273,4,773,2,4032,3369,745,52,11,2,4,1,1677,1651,1,10062
5274,4,774,3,4095,2625,1470,41,22,4,4,0,744,744,1,20125
5275,4,775,0,0,1140,1140,17,17,4,4,0,1485,1485,0,7482
5276,4,776,1,63,2264,2279,35,35,4,4,0,1124,1180,0,14964
5277,4,777,2,4032,417,3681,6,57,4,2,1,1847,1865,0,29929
5278,4,778,3,4095,818,3277,12,51,4,2,1,401,401,0,27091
5279,4,779,0,0,1620,1620,25,25,4,4,0,802,802,0,21415
5280,4,780,1,63,3225,3238,50,50,2,2,0,1605,1595,1,10062
5281,4,781,2,4032,2338,1762,36,27,4,4,0,887,905,1,20125
5282,4,782,3,4095,565,3530,8,55,4,2,1,1773,1773,0,7482
5283,4,783,0,0,1114,1114,17,17,4,4,0,549,549,0,14964
5284,4,784,1,63,2212,2203,34,34,4,4,0,1098,1078,0,29929
5285,4,785,2,4032,313,3833,4,59,4,2,1,1899,1941,0,27091
5286,4,786,3,4095,610,3485,9,54,4,2,1,297,297,0,21415
5287,4,787,0,0,1205,1205,18,18,4,4,0,595,595,0,10062
5288,4,788,1,63,2395,2404,37,37,4,4,0,1190,1242,0,20125
5289,4,789,2,4032,679,3431,10,53,4,2,1,1716,1740,0,7482
5290,4,790,3,4095,1343,2752,20,43,4,4,0,664,664,0,14964
5291,4,791,0,0,2670,2670,41,41,4,4,0,1327,1327,0,29929
5292,4,792,1,63,1222,1273,19,19,4,4,0,1448,1368,0,27091
5293,4,793,2,4032,2436,1604,38,25,4,4,0,1214,1218,0,21415
5294,4,794,3,4095,769,3326,12,51,4,2,1,1667,1667,0,10062
5295,4,795,0,0,1527,1527,23,23,4,4,0,758,758,0,20125
5296,4,796,1,63,3039,3040,47,47,4,4,0,1512,1560,0,7482
5297,4,797,2,4032,1966,2158,30,33,4,4,0,1073,1103,0,14964
5298,4,798,3,4095,3910,185,61,2,2,4,1,1944,1944,1,29929
5299,4,799,0,0,3717,3717,58,58,2,2,0,193,193,0,27091
5300,4,800,1,63,3330,3389,52,52,2,2,0,387,381,0,21415
5301,4,801,2,4032,2552,1592,39,24,4,4,0,778,886,1,10062
5302,4,802,3,4095,992,3103,15,48,4,4,0,1560,1560,0,20125
5303,4,803,0,0,1969,1969,30,30,4,4,0,977,977,0,7482
5304,4,804,1,63,3923,3948,61,61,2,2,0,1954,2014,1,14964
5305,4,805,2,4032,3734,342,58,5,2,4,1,189,195,0,29929
5306,4,806,3,4095,3357,738,52,11,2,4,1,377,377,0,27091
5307,4,807,0,0,2603,2603,40,40,4,4,0,754,754,1,21415
5308,4,808,1,63,1091,1148,17,17,4,4,0,1512,1432,0,10062
5309,4,809,2,4032,2172,1980,33,30,4,4,0,1081,967,0,20125
5310,4,810,3,4095,232,3863,3,60,4,2,1,1940,1940,0,7482
5311,4,811,0,0,448,448,7,7,4,4,0,216,216,0,14964
5312,4,812,1,63,880,847,13,13,4,4,0,432,336,0,29929
5313,4,813,2,4032,1744,2320,27,36,4,4,0,864,928,0,27091
5314,4,814,3,4095,3472,623,54,9,2,4,1,1728,1728,1,21415
5315,4,815,0,0,2833,2833,44,44,4,4,0,639,639,1,10062
5316,4,816,1,63,1555,1580,24,24,4,4,0,1278,1282,0,20125
5317,4,817,2,4032,3095,983,48,15,4,4,0,1540,1532,0,7482
5318,4,818,3,4095,2078,2017,32,31,4,4,0,1017,1017,0,14964
5319,4,819,0,0,44,44,0,0,1,1,0,2034,2034,1,29929
5320,4,820,1,63,68,123,1,1,4,4,0,24,104,1,27091
5321,4,821,2,4032,129,3905,2,61,4,2,1,61,67,0,21415
5322,4,822,3,4095,247,3848,3,60,4,2,1,118,118,0,10062
5323,4,823,0,0,479,479,7,7,4,4,0,232,232,0,20125
5324,4,824,1,63,942,913,14,14,4,4,0,463,433,0,7482
5325,4,825,2,4032,1862,2182,29,34,4,4,0,920,1000,0,14964
5326,4,826,3,4095,3716,379,58,5,2,4,1,1854,1854,1,29929
5327,4,827,0,0,3329,3329,52,52,2,2,0,387,387,0,27091
5328,4,828,1,63,2550,2505,39,39,4,4,0,779,885,1,21415
5329,4,829,2,4032,988,3100,15,48,4,4,0,1562,1510,0,10062
5330,4,830,3,4095,1960,2135,30,33,4,4,0,972,972,0,20125
5331,4,831,0,0,3904,3904,61,61,2,2,0,1944,1944,1,7482
5332,4,832,1,63,3698,3661,57,57,2,2,0,206,306,0,14964
5333,4,833,2,4032,3285,789,51,12,2,4,1,413,355,0,29929
5334,4,834,3,4095,2459,1636,38,25,4,4,0,826,826,1,27091
5335,4,835,0,0,806,806,12,12,4,4,0,1653,1653,0,21415
5336,4,836,1,63,1597,1538,24,24,4,4,0,791,745,0,10062
5337,4,837,2,4032,3179,939,49,14,4,4,0,1582,1618,0,20125
5338,4,838,3,4095,2243,1852,35,28,4,4,0,936,936,0,7482
5339,4,839,0,0,380,380,5,5,4,4,0,1863,1863,0,14964
5340,4,840,1,63,744,727,11,11,4,4,0,364,404,0,29929
5341,4,841,2,4032,1472,2560,23,40,4,4,0,728,808,0,27091
5342,4,842,3,4095,2930,1165,45,18,4,4,0,1458,1458,0,21415
5343,4,843,0,0,1749,1749,27,27,4,4,0,1181,1181,0,10062
5344,4,844,1,63,3482,3493,54,54,2,2,0,1733,1723,1,20125
5345,4,845,2,4032,2852,1252,44,19,4,4,0,630,650,1,7482
5346,4,846,3,4095,1593,2502,24,39,4,4,0,1259,1259,0,14964
5347,4,847,0,0,3170,3170,49,49,4,4,0,1577,1577,0,29929
5348,4,848,1,63,2228,2187,34,34,4,4,0,942,978,0,27091
5349,4,849,2,4032,344,3736,5,58,4,2,1,1884,1828,0,21415
5350,4,850,3,4095,673,3422,10,53,4,2,1,329,329,0,10062
5351,4,851,0,0,1331,1331,20,20,4,4,0,658,658,0,20125
5352,4,852,1,63,2646,2665,41,41,4,4,0,1315,1373,0,7482
5353,4,853,2,4032,1181,2909,18,45,4,4,0,1465,1479,0,14964
5354,4,854,3,4095,2346,1749,36,27,4,4,0,1165,1165,0,29929
5355,4,855,0,0,578,578,9,9,4,4,0,1768,1768,0,27091
5356,4,856,1,63,1147,1092,17,17,4,4,0,569,455,0,21415
5357,4,857,2,4032,2279,1831,35,28,4,4,0,1132,1172,0,10062
5358,4,858,3,4095,446,3649,6,57,4,2,1,1833,1833,0,20125
5359,4,859,0,0,876,876,13,13,4,4,0,430,430,0,7482
5360,4,860,1,63,1732,1787,27,27,4,4,0,856,936,0,14964
5361,4,861,2,4032,3457,577,54,9,2,4,1,1725,1731,1,29929
5362,4,862,3,4095,2806,1289,43,20,4,4,0,651,651,1,27091
5363,4,863,0,0,1501,1501,23,23,4,4,0,1305,1305,0,21415
5364,4,864,1,63,2987,2964,46,46,4,4,0,1486,1458,0,10062
5365,4,865,2,4032,1859,2179,29,34,4,4,0,1128,1048,0,20125
5366,4,866,3,4095,3711,384,57,6,2,4,1,1852,1852,1,7482
5367,4,867,0,0,3311,3311,51,51,2,2,0,400,400,0,14964
5368,4,868,1,63,2503,2552,39,39,4,4,0,808,728,1,29929
5369,4,869,2,4032,902,3142,14,49,4,4,0,1601,1599,0,27091
5370,4,870,3,4095,1797,2298,28,35,4,4,0,895,895,0,21415
5371,4,871,0,0,3586,3586,56,56,2,2,0,1789,1789,1,10062
5372,4,872,1,63,3066,3013,47,47,4,4,0,520,632,1,20125
5373,4,873,2,4032,2020,2084,31,32,4,4,0,1046,1002,0,7482
5374,4,874,3,4095,4025,70,62,1,2,4,1,2005,2005,1,14964
5375,4,875,0,0,3938,3938,61,61,2,2,0,87,87,0,29929
5376,4,876,1,63,3765,3722,58,58,2,2,0,173,211,0,27091
5377,4,877,2,4032,3418,666,53,10,2,4,1,347,293,0,21415
5378,4,878,3,4095,2725,1370,42,21,4,4,0,693,693,1,10062
5379,4,879,0,0,1339,1339,20,20,4,4,0,1386,1386,0,20125
5380,4,880,1,63,2662,2649,41,41,4,4,0,1323,1365,0,7482
5381,4,881,2,4032,1212,2940,18,45,4,4,0,1450,1494,0,14964
5382,4,882,3,4095,2409,1686,37,26,4,4,0,1197,1197,0,29929
5383,4,883,0,0,705,705,11,11,4,4,0,1704,1704,0,27091
5384,4,884,1,63,1397,1354,21,21,4,4,0,692,588,0,21415
5385,4,885,2,4032,2779,1307,43,20,4,4,0,1382,1434,0,10062
5386,4,886,3,4095,1446,2649,22,41,4,4,0,1333,1333,0,20125
5387,4,887,0,0,2877,2877,44,44,4,4,0,1431,1431,0,7482
5388,4,888,1,63,1643,1620,25,25,4,4,0,1234,1198,0,14964
5389,4,889,2,4032,3267,771,51,12,2,4,1,1624,1704,1,29929
5390,4,890,3,4095,2429,1666,37,26,4,4,0,838,838,1,27091
5391,4,891,0,0,747,747,11,11,4,4,0,1682,1682,0,21415
5392,4,892,1,63,1475,1532,23,23,4,4,0,728,808,0,10062
5393,4,893,2,4032,2942,1214,45,18,4,4,0,1467,1349,0,20125
5394,4,894,3,4095,1773,2322,27,36,4,4,0,1169,1169,0,7482
5395,4,895,0,0,3525,3525,55,55,2,2,0,1752,1752,1,14964
5396,4,896,1,63,2947,3004,46,46,4,4,0,578,574,1,29929
5397,4,897,2,4032,1789,2365,27,36,4,4,0,1158,1274,0,27091
5398,4,898,3,4095,3562,533,55,8,2,4,1,1773,1773,1,21415
5399,4,899,0,0,3010,3010,47,47,4,4,0,552,552,1,10062
5400,4,900,1,63,1912,1863,29,29,4,4,0,1098,1206,0,20125
5401,4,901,2,4032,3808,288,59,4,2,4,1,1896,1944,1,7482
5402,4,902,3,4095,3504,591,54,9,2,4,1,304,304,0,14964
5403,4,903,0,0,2897,2897,45,45,4,4,0,607,607,1,29929
5404,4,904,1,63,1683,1708,26,26,4,4,0,1214,1218,0,27091
5405,4,905,2,4032,3351,727,52,11,2,4,1,1668,1660,1,21415
5406,4,906,3,4095,2591,1504,40,23,4,4,0,760,760,1,10062
5407,4,907,0,0,1070,1070,16,16,4,4,0,1521,1521,0,20125
5408,4,908,1,63,2118,2169,33,33,4,4,0,1048,1128,0,7482
5409,4,909,2,4032,132,3908,2,61,4,2,1,1986,1982,0,14964
5410,4,910,3,4095,257,3838,4,59,4,2,1,125,125,0,29929
5411,4,911,0,0,500,500,7,7,4,4,0,243,243,0,27091
5412,4,912,1,63,984,999,15,15,4,4,0,484,540,0,21415
5413,4,913,2,4032,1953,2145,30,33,4,4,0,969,951,0,10062
5414,4,914,3,4095,3891,204,60,3,2,4,1,1938,1938,1,20125
5415,4,915,0,0,3671,3671,57,57,2,2,0,220,220,0,7482
5416,4,916,1,63,3230,3233,50,50,2,2,0,441,455,0,14964
5417,4,917,2,4032,2349,1773,36,27,4,4,0,881,911,1,29929
5418,4,918,3,4095,581,3514,9,54,4,2,1,1768,1768,0,27091
